time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:11:34,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:11:34,BLE,AA1D683F-EA91-6F94-F206-FCFDD281547E,,,3,,,RSSI:-73.0
2020-08-11 20:11:35,BLE,AA1D683F-EA91-6F94-F206-FCFDD281547E,,2,,,,AayC8A
2020-08-11 20:11:36,BLE,33B3BDBF-924D-4751-4391-AC77EA2E0907,1,,,,,
2020-08-11 20:11:36,BLE,33B3BDBF-924D-4751-4391-AC77EA2E0907,,,3,,,RSSI:-73.0
2020-08-11 20:11:44,BLE,33B3BDBF-924D-4751-4391-AC77EA2E0907,,,3,,,RSSI:-72.0
2020-08-11 20:11:45,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-79.0
2020-08-11 20:11:45,BLE,33B3BDBF-924D-4751-4391-AC77EA2E0907,,2,,,,AayC8A
2020-08-11 20:11:45,BLE,04615B93-43F9-24FC-FF32-C7B54C488CC3,1,,,,,
2020-08-11 20:11:45,BLE,04615B93-43F9-24FC-FF32-C7B54C488CC3,,,3,,,RSSI:-72.0
2020-08-11 20:11:45,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-95.0
2020-08-11 20:11:46,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,,4,,Ku1nMg
2020-08-11 20:11:46,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-81.0
2020-08-11 20:11:55,BLE,04615B93-43F9-24FC-FF32-C7B54C488CC3,,,3,,,RSSI:-72.0
2020-08-11 20:11:56,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:11:56,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:11:57,BLE,04615B93-43F9-24FC-FF32-C7B54C488CC3,,2,,,,AayC8A
2020-08-11 20:11:57,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,1,,,,,
2020-08-11 20:11:57,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,,,3,,,RSSI:-73.0
2020-08-11 20:11:57,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-96.0
2020-08-11 20:11:58,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,,4,,Ku1nMg
2020-08-11 20:12:06,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-89.0
2020-08-11 20:12:06,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,,,3,,,RSSI:-72.0
2020-08-11 20:12:07,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-76.0
2020-08-11 20:12:07,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,,2,,,,AayC8A
2020-08-11 20:12:07,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-92.0
2020-08-11 20:12:15,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:12:15,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,,,3,,,RSSI:-79.0
2020-08-11 20:12:16,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,,4,,Ku1nMg
2020-08-11 20:12:16,BLE,695E8C7A-A669-AF63-1830-3224D21D9270,,,,4,,Ku1nMg
2020-08-11 20:12:16,BLE,D7BC0371-F224-27FA-4178-6428D4998A97,1,,,,,
2020-08-11 20:12:16,BLE,D7BC0371-F224-27FA-4178-6428D4998A97,,,3,,,RSSI:-79.0
2020-08-11 20:12:17,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-75.0
2020-08-11 20:12:17,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-93.0
2020-08-11 20:12:20,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,,,3,,,RSSI:-62.0
2020-08-11 20:12:20,BLE,4EF7A26C-D7E4-F367-A284-7CA244E7E9E2,,,3,,,RSSI:-53.0
2020-08-11 20:12:20,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,,2,,,,mL6p9g
2020-08-11 20:12:20,BLE,4EF7A26C-D7E4-F367-A284-7CA244E7E9E2,,2,,,,zTWWcw
2020-08-11 20:12:29,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,1,,,,,
2020-08-11 20:12:29,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-93.0
2020-08-11 20:12:29,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,1,,,,,
2020-08-11 20:12:29,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-79.0
2020-08-11 20:12:30,BLE,D7BC0371-F224-27FA-4178-6428D4998A97,,,3,,,RSSI:-73.0
2020-08-11 20:12:31,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-87.0
2020-08-11 20:12:31,BLE,D7BC0371-F224-27FA-4178-6428D4998A97,,2,,,,AayC8A
2020-08-11 20:12:31,BLE,037C2497-1EC9-3BCA-B240-84E3D68DCCD9,1,,,,,
2020-08-11 20:12:31,BLE,037C2497-1EC9-3BCA-B240-84E3D68DCCD9,,,3,,,RSSI:-72.0
2020-08-11 20:12:39,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-87.0
2020-08-11 20:12:39,BLE,037C2497-1EC9-3BCA-B240-84E3D68DCCD9,,,3,,,RSSI:-72.0
2020-08-11 20:12:39,BLE,B1799D13-BBE3-DC99-FA61-5B31B632ACD3,1,,,,,
2020-08-11 20:12:39,BLE,B1799D13-BBE3-DC99-FA61-5B31B632ACD3,,,3,,,RSSI:-72.0
2020-08-11 20:12:40,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-79.0
2020-08-11 20:12:40,BLE,037C2497-1EC9-3BCA-B240-84E3D68DCCD9,,2,,,,AayC8A
2020-08-11 20:12:40,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,2,,,,zTWWcw
2020-08-11 20:12:41,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,2,,,,mL6p9g
2020-08-11 20:12:41,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:12:49,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-76.0
2020-08-11 20:12:49,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-93.0
2020-08-11 20:12:50,BLE,B1799D13-BBE3-DC99-FA61-5B31B632ACD3,,,3,,,RSSI:-79.0
2020-08-11 20:12:50,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,,4,,Ku1nMg
2020-08-11 20:12:50,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:12:50,BLE,B1799D13-BBE3-DC99-FA61-5B31B632ACD3,,2,,,,AayC8A
2020-08-11 20:12:51,BLE,792FF547-3170-70AF-0EC1-659079C96BCD,1,,,,,
2020-08-11 20:12:51,BLE,792FF547-3170-70AF-0EC1-659079C96BCD,,,3,,,RSSI:-78.0
2020-08-11 20:12:52,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,,4,,Ku1nMg
2020-08-11 20:13:00,BLE,792FF547-3170-70AF-0EC1-659079C96BCD,,,3,,,RSSI:-80.0
2020-08-11 20:13:00,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:13:01,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-91.0
2020-08-11 20:13:01,BLE,792FF547-3170-70AF-0EC1-659079C96BCD,,2,,,,AayC8A
2020-08-11 20:13:01,BLE,685D72E6-0F09-6DC3-B985-0080B949F138,1,,,,,
2020-08-11 20:13:01,BLE,685D72E6-0F09-6DC3-B985-0080B949F138,,,3,,,RSSI:-79.0
2020-08-11 20:13:01,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-76.0
2020-08-11 20:13:10,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-90.0
2020-08-11 20:13:10,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-84.0
2020-08-11 20:13:10,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-85.0
2020-08-11 20:13:10,BLE,685D72E6-0F09-6DC3-B985-0080B949F138,,,3,,,RSSI:-73.0
2020-08-11 20:13:11,BLE,685D72E6-0F09-6DC3-B985-0080B949F138,,2,,,,AayC8A
2020-08-11 20:13:11,BLE,EB2679B9-CC4A-98AD-5BFD-B597B5B9A949,1,,,,,
